time_iso8601,forks_cumulative
2020-12-27 00:00:00+00:00,1
2021-01-04 00:00:00+00:00,2
2021-01-10 00:00:00+00:00,3
2021-01-13 00:00:00+00:00,4
2021-02-08 00:00:00+00:00,5
2021-03-15 00:00:00+00:00,6
2021-04-28 00:00:00+00:00,7
2021-06-18 00:00:00+00:00,9
2021-08-15 00:00:00+00:00,10
2021-09-07 00:00:00+00:00,11
2021-09-29 00:00:00+00:00,12
2021-11-24 00:00:00+00:00,13
2021-11-30 00:00:00+00:00,14
2021-12-10 00:00:00+00:00,15
2021-12-18 00:00:00+00:00,16
2021-12-20 00:00:00+00:00,17
2021-12-30 00:00:00+00:00,18
2022-01-03 00:00:00+00:00,19
2022-01-14 00:00:00+00:00,20
2022-01-20 00:00:00+00:00,21
2022-02-12 00:00:00+00:00,22
2022-03-07 00:00:00+00:00,23
2022-03-26 00:00:00+00:00,24
2022-04-01 00:00:00+00:00,25
2022-04-09 00:00:00+00:00,26
2022-05-30 00:00:00+00:00,27
2022-06-09 00:00:00+00:00,28
2022-06-17 00:00:00+00:00,29
2022-06-30 00:00:00+00:00,30
2022-07-03 00:00:00+00:00,31
2022-07-11 00:00:00+00:00,32
2022-08-27 00:00:00+00:00,33
2022-08-28 00:00:00+00:00,34
2022-12-06 00:00:00+00:00,35
2022-12-20 00:00:00+00:00,36
2023-01-04 00:00:00+00:00,37
2023-01-12 00:00:00+00:00,38
2023-01-19 00:00:00+00:00,39
2023-01-31 00:00:00+00:00,40
2023-02-09 00:00:00+00:00,41
2023-03-08 00:00:00+00:00,42
2023-03-14 00:00:00+00:00,43
