time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-19 00:00:00+00:00,4.0,3.0,56,6
2023-06-20 00:00:00+00:00,4.0,3.0,7,4
2023-06-21 00:00:00+00:00,4.0,3.0,29,10
2023-06-22 00:00:00+00:00,6.0,4.0,28,5
2023-06-23 00:00:00+00:00,3.0,2.0,9,5
2023-06-24 00:00:00+00:00,4.0,3.0,1,1
2023-06-25 00:00:00+00:00,4.0,3.0,36,9
2023-06-26 00:00:00+00:00,6.0,5.0,27,11
2023-06-27 00:00:00+00:00,3.0,3.0,16,7
2023-06-28 00:00:00+00:00,4.0,3.0,30,8
2023-06-29 00:00:00+00:00,5.0,4.0,32,14
2023-06-30 00:00:00+00:00,4.0,3.0,13,6
2023-07-01 00:00:00+00:00,4.0,3.0,6,1
2023-07-02 00:00:00+00:00,,,16,6
