time_iso8601,stars_cumulative
2020-11-23 00:00:00+00:00,1
2020-12-07 00:00:00+00:00,2
2020-12-26 00:00:00+00:00,3
2020-12-27 00:00:00+00:00,4
2021-01-06 00:00:00+00:00,5
2021-01-18 00:00:00+00:00,6
2021-01-31 00:00:00+00:00,7
2021-02-23 00:00:00+00:00,8
2021-03-10 00:00:00+00:00,9
2021-03-31 00:00:00+00:00,10
2021-04-12 00:00:00+00:00,11
2021-04-20 00:00:00+00:00,12
2021-04-28 00:00:00+00:00,13
2021-04-30 00:00:00+00:00,14
2021-05-20 00:00:00+00:00,15
2021-06-08 00:00:00+00:00,16
2021-06-10 00:00:00+00:00,17
2021-06-16 00:00:00+00:00,18
2021-06-18 00:00:00+00:00,19
2021-06-25 00:00:00+00:00,20
2021-06-28 00:00:00+00:00,21
2021-06-29 00:00:00+00:00,22
2021-07-29 00:00:00+00:00,23
2021-08-03 00:00:00+00:00,24
2021-08-15 00:00:00+00:00,25
2021-09-07 00:00:00+00:00,26
2021-09-09 00:00:00+00:00,27
2021-09-15 00:00:00+00:00,28
2021-09-23 00:00:00+00:00,29
2021-09-29 00:00:00+00:00,30
2021-10-12 00:00:00+00:00,31
2021-10-17 00:00:00+00:00,32
2021-11-11 00:00:00+00:00,33
2021-11-23 00:00:00+00:00,34
2021-11-24 00:00:00+00:00,35
2021-12-01 00:00:00+00:00,36
2021-12-04 00:00:00+00:00,37
2021-12-16 00:00:00+00:00,38
2021-12-20 00:00:00+00:00,39
2021-12-21 00:00:00+00:00,41
2021-12-22 00:00:00+00:00,43
2021-12-26 00:00:00+00:00,44
2021-12-27 00:00:00+00:00,46
2021-12-30 00:00:00+00:00,47
2021-12-31 00:00:00+00:00,48
2022-01-02 00:00:00+00:00,50
2022-01-05 00:00:00+00:00,51
2022-01-08 00:00:00+00:00,52
2022-01-19 00:00:00+00:00,53
2022-01-20 00:00:00+00:00,56
2022-01-27 00:00:00+00:00,57
2022-02-05 00:00:00+00:00,58
2022-02-07 00:00:00+00:00,60
2022-02-08 00:00:00+00:00,61
2022-02-10 00:00:00+00:00,63
2022-02-11 00:00:00+00:00,65
2022-02-12 00:00:00+00:00,66
2022-02-13 00:00:00+00:00,67
2022-02-22 00:00:00+00:00,68
2022-02-23 00:00:00+00:00,69
2022-02-27 00:00:00+00:00,70
2022-03-01 00:00:00+00:00,71
2022-03-02 00:00:00+00:00,72
2022-03-04 00:00:00+00:00,74
2022-03-07 00:00:00+00:00,75
2022-03-08 00:00:00+00:00,78
2022-03-09 00:00:00+00:00,79
2022-03-10 00:00:00+00:00,80
2022-03-13 00:00:00+00:00,81
2022-03-16 00:00:00+00:00,82
2022-03-19 00:00:00+00:00,83
2022-03-22 00:00:00+00:00,84
2022-03-23 00:00:00+00:00,85
2022-03-24 00:00:00+00:00,86
2022-03-27 00:00:00+00:00,87
2022-03-28 00:00:00+00:00,88
2022-03-29 00:00:00+00:00,89
2022-04-01 00:00:00+00:00,93
2022-04-04 00:00:00+00:00,94
2022-04-06 00:00:00+00:00,95
2022-04-07 00:00:00+00:00,96
2022-04-09 00:00:00+00:00,98
2022-04-12 00:00:00+00:00,99
2022-04-14 00:00:00+00:00,100
2022-04-16 00:00:00+00:00,101
2022-04-17 00:00:00+00:00,102
2022-04-18 00:00:00+00:00,106
2022-04-20 00:00:00+00:00,108
2022-04-22 00:00:00+00:00,110
2022-04-25 00:00:00+00:00,111
2022-04-26 00:00:00+00:00,112
2022-04-27 00:00:00+00:00,114
2022-05-01 00:00:00+00:00,115
2022-05-03 00:00:00+00:00,116
2022-05-07 00:00:00+00:00,117
2022-05-10 00:00:00+00:00,118
2022-05-13 00:00:00+00:00,119
2022-05-16 00:00:00+00:00,120
